"Sample","Orchard","Location","Row","Direction","Interval","Interval.Duration","Date","PollenType","Count","TotalPollen","NonCherry","Propos","num"
13,"CSO","CANOPY","2A","N","AM",9,"17 May 2016","Other angiosperm",1,7,3,0.1428571429,13
13,"CSO","CANOPY","2A","N","PM",15,"17 May 2016","Other angiosperm",0,21,21,0,14
14,"CSO","CANOPY","2A","S","AM",9,"17 May 2016","Other angiosperm",4,15,13,0.2666666667,15
14,"CSO","CANOPY","2A","S","PM",15,"17 May 2016","Other angiosperm",0,4,3,0,16
17,"CSO","CANOPY","2B","N","AM",9,"17 May 2016","Other angiosperm",2,5,5,0.4,17
17,"CSO","CANOPY","2B","N","PM",15,"17 May 2016","Other angiosperm",5,14,13,0.3571428571,18
18,"CSO","CANOPY","2B","S","AM",9,"17 May 2016","Other angiosperm",3,4,4,0.75,19
18,"CSO","CANOPY","2B","S","PM",15,"17 May 2016","Other angiosperm",11,60,60,0.1833333333,20
21,"CSO","CANOPY","2C","N","AM",9,"17 May 2016","Other angiosperm",5,8,8,0.625,21
21,"CSO","CANOPY","2C","N","PM",15,"17 May 2016","Other angiosperm",10,26,26,0.3846153846,22
22,"CSO","CANOPY","2C","S","AM",9,"17 May 2016","Other angiosperm",2,4,4,0.5,23
22,"CSO","CANOPY","2C","S","PM",15,"17 May 2016","Other angiosperm",7,41,41,0.1707317073,24
25,"CSO","CANOPY","3A","N","AM",9,"17 May 2016","Other angiosperm",5,15,13,0.3333333333,25
25,"CSO","CANOPY","3A","N","PM",15,"17 May 2016","Other angiosperm",7,16,14,0.4375,26
26,"CSO","CANOPY","3A","S","AM",9,"17 May 2016","Other angiosperm",3,8,7,0.375,27
26,"CSO","CANOPY","3A","S","PM",15,"17 May 2016","Other angiosperm",1,1,1,1,28
29,"CSO","CANOPY","3B","N","AM",9,"17 May 2016","Other angiosperm",5,5,5,1,29
29,"CSO","CANOPY","3B","N","PM",15,"17 May 2016","Other angiosperm",10,10,10,1,30
30,"CSO","CANOPY","3B","S","AM",9,"17 May 2016","Other angiosperm",0,3,3,0,31
30,"CSO","CANOPY","3B","S","PM",15,"17 May 2016","Other angiosperm",3,44,44,0.0681818182,32
33,"CSO","CANOPY","3C","N","AM",9,"17 May 2016","Other angiosperm",0,2,2,0,33
33,"CSO","CANOPY","3C","N","PM",15,"17 May 2016","Other angiosperm",6,22,22,0.2727272727,34
34,"CSO","CANOPY","3C","S","AM",9,"17 May 2016","Other angiosperm",3,17,17,0.1764705882,35
34,"CSO","CANOPY","3C","S","PM",15,"17 May 2016","Other angiosperm",4,7,7,0.5714285714,36
3,"CSO","ROW","1A","N","AM",9,"17 May 2016","Other angiosperm","NA","NA","NA","NA",37
3,"CSO","ROW","1A","N","PM",15,"17 May 2016","Other angiosperm",3,30,29,0.1,38
4,"CSO","ROW","1A","S","AM",9,"17 May 2016","Other angiosperm","NA","NA","NA","NA",39
4,"CSO","ROW","1A","S","PM",15,"17 May 2016","Other angiosperm",0,6,6,0,40
7,"CSO","ROW","1B","N","AM",9,"17 May 2016","Other angiosperm","NA","NA","NA","NA",41
7,"CSO","ROW","1B","N","PM",15,"17 May 2016","Other angiosperm",1,18,18,0.0555555556,42
8,"CSO","ROW","1B","S","AM",9,"17 May 2016","Other angiosperm","NA","NA","NA","NA",43
8,"CSO","ROW","1B","S","PM",15,"17 May 2016","Other angiosperm",1,6,6,0.1666666667,44
11,"CSO","ROW","1C","N","AM",9,"17 May 2016","Other angiosperm","NA","NA","NA","NA",45
11,"CSO","ROW","1C","N","PM",15,"17 May 2016","Other angiosperm",1,15,15,0.0666666667,46
12,"CSO","ROW","1C","S","AM",9,"17 May 2016","Other angiosperm","NA","NA","NA","NA",47
12,"CSO","ROW","1C","S","PM",15,"17 May 2016","Other angiosperm",0,13,12,0,48
15,"CSO","ROW","2A","N","AM",9,"17 May 2016","Other angiosperm",2,10,9,0.2,49
15,"CSO","ROW","2A","N","PM",15,"17 May 2016","Other angiosperm",2,12,11,0.1666666667,50
16,"CSO","ROW","2A","S","AM",9,"17 May 2016","Other angiosperm",14,34,32,0.4117647059,51
16,"CSO","ROW","2A","S","PM",15,"17 May 2016","Other angiosperm",2,15,14,0.1333333333,52
19,"CSO","ROW","2B","N","AM",9,"17 May 2016","Other angiosperm",5,11,11,0.4545454545,53
19,"CSO","ROW","2B","N","PM",15,"17 May 2016","Other angiosperm",8,26,22,0.3076923077,54
20,"CSO","ROW","2B","S","AM",9,"17 May 2016","Other angiosperm",3,7,7,0.4285714286,55
20,"CSO","ROW","2B","S","PM",15,"17 May 2016","Other angiosperm",3,17,17,0.1764705882,56
23,"CSO","ROW","2C","N","AM",9,"17 May 2016","Other angiosperm",1,5,5,0.2,57
23,"CSO","ROW","2C","N","PM",15,"17 May 2016","Other angiosperm",1,5,5,0.2,58
24,"CSO","ROW","2C","S","AM",9,"17 May 2016","Other angiosperm",3,9,9,0.3333333333,59
24,"CSO","ROW","2C","S","PM",15,"17 May 2016","Other angiosperm",2,4,4,0.5,60
27,"CSO","ROW","3A","N","AM",9,"17 May 2016","Other angiosperm",7,18,11,0.3888888889,61
27,"CSO","ROW","3A","N","PM",15,"17 May 2016","Other angiosperm",2,7,5,0.2857142857,62
28,"CSO","ROW","3A","S","AM",9,"17 May 2016","Other angiosperm",10,43,22,0.2325581395,63
28,"CSO","ROW","3A","S","PM",15,"17 May 2016","Other angiosperm",0,1,1,0,64
31,"CSO","ROW","3B","N","AM",9,"17 May 2016","Other angiosperm",4,12,12,0.3333333333,65
31,"CSO","ROW","3B","N","PM",15,"17 May 2016","Other angiosperm",8,8,8,1,66
32,"CSO","ROW","3B","S","AM",9,"17 May 2016","Other angiosperm",5,14,14,0.3571428571,67
32,"CSO","ROW","3B","S","PM",15,"17 May 2016","Other angiosperm",5,5,5,1,68
35,"CSO","ROW","3C","N","AM",9,"17 May 2016","Other angiosperm",2,17,17,0.1176470588,69
35,"CSO","ROW","3C","N","PM",15,"17 May 2016","Other angiosperm",5,5,5,1,70
36,"CSO","ROW","3C","S","AM",9,"17 May 2016","Other angiosperm",5,9,9,0.5555555556,71
36,"CSO","ROW","3C","S","PM",15,"17 May 2016","Other angiosperm",4,4,4,1,72
